6.161700 0.000000 0.000000
0.000000 3.557800 0.000000
0.000000 0.000000 19.210000
0.000000 -1.000000 0.000000
3.000000 0.000000 0.000000
-0.000000 -0.000000 1.000000
0.166590 -0.500000 0.594000 Zr
0.664700 -1.000000 0.594000 Zr
0.999880 -1.000000 0.499830 Te
0.999880 -1.000000 0.688170 Te
0.499890 -0.500000 0.499790 Te
0.499890 -0.500000 0.688210 Te
1.166590 -0.500000 0.594000 Mo
1.664700 -1.000000 0.594000 Zr
1.999880 -1.000000 0.499830 Te
1.999880 -1.000000 0.688170 Te
1.499890 -0.500000 0.499790 Te
1.499890 -0.500000 0.688210 Te
2.166590 -0.500000 0.594000 Mo
2.664700 -1.000000 0.594000 Mo
2.999880 -1.000000 0.499830 Te
2.999880 -1.000000 0.688170 Te
2.499890 -0.500000 0.499790 Te
2.499890 -0.500000 0.688210 Te
