0 -3.82337 0
13.1677 0 0
0 0 19.21
1 0 0
0 1 0
0 0 1
0.5000000000000000 0.5832970078406438 0.5940000000000012	Mo
0.0000000000000000 0.5133168254834708 0.5011618688468106	Te
0.0000000000000000 0.5133168254834708 0.6868381311531919	Te
0.5000000000000000 0.2526215652597562 0.4951536243740801	Te
0.5000000000000000 0.2526215652597562 0.6928463756259153	Te
0.0000000000000000 0.9955311922569117 0.4955784296582383	Te
0.0000000000000000 0.9955311922569117 0.6924215703417643	Te
0.5000000000000000 0.7416785208531830 0.4962940942550821	Te
0.5000000000000000 0.7416785208531830 0.6917059057449132	Te
0.5000000000000000 0.0804007198650987 0.5940000000000012	Zr
0.0000000000000000 0.3382729601847507 0.5940000000000012	Zr
0.0000000000000000 0.8225631044028556 0.5940000000000012	Zr
