6.161700 0.000000 0.000000
0.000000 3.557800 0.000000
0.000000 0.000000 19.210000
1.000000 0.000000 0.000000
-0.000000 2.000000 0.000000
-0.000000 -0.000000 1.000000
0.166590 0.500000 0.594000 Zr
0.664700 1.000000 0.594000 Mo
0.999880 1.000000 0.499830 Te
0.999880 1.000000 0.688170 Te
0.499890 0.500000 0.499790 Te
0.499890 0.500000 0.688210 Te
0.166590 1.500000 0.594000 Mo
0.664700 2.000000 0.594000 Mo
0.999880 2.000000 0.499830 Te
0.999880 2.000000 0.688170 Te
0.499890 1.500000 0.499790 Te
0.499890 1.500000 0.688210 Te
