6.58415 0 0
0 7.66363 0
0 0 19.21
1 0 0
0 1 0
0 0 1
0.6624573112104096 -0.0000000000000000 0.5940000000000012	Mo
0.0102662866261731 0.5000000000000000 0.4932320757635441	Te
0.0102662866261731 0.5000000000000000 0.6947679242364583	Te
0.5078170863626645 0.2381893490152258 0.4985977507071722	Te
0.5078170863626645 0.2381893490152258 0.6894022492928231	Te
0.9756942647037566 -0.0000000000000000 0.4983113876919722	Te
0.9756942647037566 -0.0000000000000000 0.6896886123080302	Te
0.5078170863626645 0.7618106509847742 0.4985977507071722	Te
0.5078170863626645 0.7618106509847742 0.6894022492928231	Te
0.1633106479265886 0.2478578109596355 0.5940000000000012	Zr
0.6693919448258934 0.5000000000000000 0.5940000000000012	Zr
0.1633106479265886 0.7521421890403643 0.5940000000000012	Zr
