6.57548 0 0
0 7.6646 0
0 0 19.21
1 0 0
0 1 0
0 0 1
0.1635220199510069 0.7500000000000000 0.5940000000000012	Mo
0.0078376089492477 0.5126099949015380 0.4986424423772921	Te
0.0078376089492477 0.5126099949015380 0.6893575576227101	Te
0.5095437470866141 0.2500000000000000 0.4932928820610392	Te
0.5095437470866141 0.2500000000000000 0.6947071179389557	Te
0.0078376089492477 -0.0126099949015379 0.4986424423772921	Te
0.0078376089492477 -0.0126099949015379 0.6893575576227101	Te
0.4771011770829241 0.7500000000000000 0.4980214877817837	Te
0.4771011770829241 0.7500000000000000 0.6899785122182116	Te
0.1678824945228913 0.2500000000000000 0.5940000000000012	Zr
0.6628076006950160 0.5023354081639575 0.5940000000000012	Zr
0.6628076006950160 -0.0023354081639576 0.5940000000000012	Zr
