18.485100 0.000000 0.000000
0.000000 10.673400 0.000000
0.000000 0.000000 19.210000
1.0 0.0 0.0
0.0 1.0 0.0
0.0 0.0 1.0
0.333293 0.000000 0.499830 Te
0.333293 0.333333 0.499830 Te
0.333293 0.666667 0.499830 Te
0.666627 0.000000 0.499830 Te
0.666627 0.333333 0.499830 Te
0.666627 0.666667 0.499830 Te
0.999960 0.000000 0.499830 Te
0.999960 0.333333 0.499830 Te
0.999960 0.666667 0.499830 Te
0.333293 0.000000 0.688170 Te
0.333293 0.333333 0.688170 Te
0.333293 0.666667 0.688170 Te
0.666627 0.000000 0.688170 Te
0.666627 0.333333 0.688170 Te
0.666627 0.666667 0.688170 Te
0.999960 0.000000 0.688170 Te
0.999960 0.333333 0.688170 Te
0.999960 0.666667 0.688170 Te
0.166630 0.166667 0.499790 Te
0.166630 0.500000 0.499790 Te
0.166630 0.833333 0.499790 Te
0.499963 0.166667 0.499790 Te
0.499963 0.500000 0.499790 Te
0.499963 0.833333 0.499790 Te
0.833297 0.166667 0.499790 Te
0.833297 0.500000 0.499790 Te
0.833297 0.833333 0.499790 Te
0.166630 0.166667 0.688210 Te
0.166630 0.500000 0.688210 Te
0.166630 0.833333 0.688210 Te
0.499963 0.166667 0.688210 Te
0.499963 0.500000 0.688210 Te
0.499963 0.833333 0.688210 Te
0.833297 0.166667 0.688210 Te
0.833297 0.500000 0.688210 Te
0.833297 0.833333 0.688210 Te
0.055530 0.166667 0.594000 Zr
0.055530 0.500000 0.594000 Zr
0.055530 0.833333 0.594000 Zr
0.388863 0.166667 0.594000 Mo
0.388863 0.500000 0.594000 Mo
0.388863 0.833333 0.594000 Mo
0.722197 0.166667 0.594000 Zr
0.722197 0.500000 0.594000 Zr
0.722197 0.833333 0.594000 Zr
0.221567 0.000000 0.594000 Zr
0.221567 0.333333 0.594000 Zr
0.221567 0.666667 0.594000 Zr
0.554900 0.000000 0.594000 Mo
0.554900 0.333333 0.594000 Mo
0.554900 0.666667 0.594000 Mo
0.888233 0.000000 0.594000 Zr
0.888233 0.333333 0.594000 Zr
0.888233 0.666667 0.594000 Zr
