5.139700 0.000000 0.000000
0.000000 5.190380 0.000000
-0.889957 0.000000 5.248705
0.000000 -0.000000 -1.000000
-0.000000 -1.000000 0.000000
-2.000000 0.000000 0.000000
-0.932396 -0.670511 -0.652354 O
-0.067605 -0.329489 -0.347646 Vac
-0.067605 -0.170511 -0.847646 O
-0.932396 -0.829489 -0.152354 O
-0.551049 -0.242664 -0.522512 O
-0.448951 -0.757336 -0.477488 Vac
-0.448951 -0.742664 -0.977488 Vac
-0.551049 -0.257336 -0.022512 O
-0.724133 -0.957370 -0.792122 Hf_pv
-0.275867 -0.042630 -0.207878 Hf_pv
-0.275867 -0.457370 -0.707878 Hf_pv
-0.724133 -0.542630 -0.292122 Hf_pv
-1.932396 -0.670511 -0.652354 Vac
-1.067605 -0.329489 -0.347646 O
-1.067605 -0.170511 -0.847646 O
-1.932396 -0.829489 -0.152354 O
-1.551049 -0.242664 -0.522512 O
-1.448951 -0.757336 -0.477488 O
-1.448951 -0.742664 -0.977488 O
-1.551049 -0.257336 -0.022512 O
-1.724133 -0.957370 -0.792122 Hf_pv
-1.275867 -0.042630 -0.207878 Hf_pv
-1.275867 -0.457370 -0.707878 Hf_pv
-1.724133 -0.542630 -0.292122 Hf_pv
