10.279400 0.000000 0.000000
0.000000 10.380760 0.000000
-1.779914 0.000000 10.497410
-1.000000 0.000000 0.000000
0.000000 1.000000 0.000000
0.000000 -0.000000 -1.000000
-0.275525 0.371332 -0.511256 Vac
-0.466198 0.585255 -0.576177 Vac
-0.966198 0.664744 -0.826177 O
-0.775525 0.371332 -0.511256 O
-0.775525 0.378668 -0.761256 Vac
-0.724475 0.121332 -0.738744 Vac
-0.466198 0.664744 -0.326177 O
-0.533803 0.414745 -0.923823 O
-0.533803 0.335255 -0.673823 Vac
-0.724475 0.128668 -0.488744 Vac
-0.533803 0.835255 -0.673823 O
-0.966198 0.585255 -0.576177 Vac
-0.724475 0.621332 -0.738744 Vac
-0.533803 0.414745 -0.423823 O
-0.466198 0.664744 -0.826177 O
-0.724475 0.628668 -0.488744 O
-0.862067 0.021315 -0.896061 Hf_pv
-0.362066 0.728685 -0.146061 Hf_pv
-0.362066 0.728685 -0.646061 Hf_pv
-0.362066 0.228685 -0.646061 Hf_pv
-0.862067 0.728685 -0.146061 Hf_pv
-0.862067 0.728685 -0.646061 Hf_pv
-0.862067 0.228685 -0.146061 Hf_pv
-0.862067 0.228685 -0.646061 Hf_pv
-0.137934 0.771315 -0.353939 Hf_pv
-0.137934 0.771315 -0.853939 Hf_pv
-0.137934 0.271315 -0.353939 Hf_pv
-0.137934 0.271315 -0.853939 Hf_pv
-0.637933 0.771315 -0.353939 Hf_pv
-0.637933 0.771315 -0.853939 Hf_pv
-0.637933 0.271315 -0.353939 Hf_pv
-0.637933 0.271315 -0.853939 Hf_pv
-0.362066 0.228685 -0.146061 Hf_pv
-0.137934 0.978685 -0.603939 Hf_pv
-0.137934 0.978685 -0.103939 Hf_pv
-0.862067 0.021315 -0.396061 Hf_pv
-0.862067 0.521315 -0.396061 Hf_pv
-0.362066 0.021315 -0.896061 Hf_pv
-0.362066 0.021315 -0.396061 Hf_pv
-0.362066 0.521315 -0.896061 Hf_pv
-0.862067 0.521315 -0.896061 Hf_pv
-0.637933 0.478685 -0.603939 Hf_pv
-0.637933 0.478685 -0.103939 Hf_pv
-0.637933 0.978685 -0.603939 Hf_pv
-0.637933 0.978685 -0.103939 Hf_pv
-0.137934 0.478685 -0.603939 Hf_pv
-0.362066 0.521315 -0.396061 Hf_pv
-0.137934 0.478685 -0.103939 Hf_pv
-0.724475 0.121332 -0.238744 O
-0.275525 0.878668 -0.261256 O
-0.275525 0.878668 -0.761256 O
-0.275525 0.378668 -0.261256 O
-0.775525 0.878668 -0.761256 O
-0.775525 0.878668 -0.261256 O
-0.775525 0.378668 -0.261256 O
-0.466198 0.585255 -0.076177 O
-0.724475 0.621332 -0.238744 O
-0.466198 0.085255 -0.076177 O
-0.275525 0.378668 -0.761256 O
-0.224475 0.121332 -0.738744 O
-0.224475 0.628668 -0.988744 O
-0.224475 0.621332 -0.738744 O
-0.224475 0.621332 -0.238744 O
-0.724475 0.128668 -0.988744 O
-0.724475 0.628668 -0.988744 O
-0.224475 0.128668 -0.988744 O
-0.224475 0.128668 -0.488744 O
-0.224475 0.628668 -0.488744 O
-0.775525 0.371332 -0.011256 O
-0.775525 0.871332 -0.511256 O
-0.775525 0.871332 -0.011256 O
-0.275525 0.371332 -0.011256 O
-0.466198 0.085255 -0.576177 O
-0.224475 0.121332 -0.238744 O
-0.966198 0.585255 -0.076177 O
-0.033802 0.835255 -0.173823 O
-0.966198 0.085255 -0.076177 O
-0.966198 0.164744 -0.826177 O
-0.966198 0.164744 -0.326177 O
-0.966198 0.664744 -0.326177 O
-0.466198 0.164744 -0.826177 O
-0.466198 0.164744 -0.326177 O
-0.533803 0.335255 -0.173823 O
-0.533803 0.835255 -0.173823 O
-0.033802 0.335255 -0.173823 O
-0.033802 0.835255 -0.673823 O
-0.275525 0.871332 -0.511256 O
-0.033802 0.335255 -0.673823 O
-0.275525 0.871332 -0.011256 O
-0.966198 0.085255 -0.576177 O
-0.533803 0.914745 -0.923823 O
-0.533803 0.914745 -0.423823 O
-0.033802 0.414745 -0.923823 O
-0.033802 0.414745 -0.423823 O
-0.033802 0.914745 -0.423823 O
-0.033802 0.914745 -0.923823 O
