10.279400 0.000000 0.000000
0.000000 10.380760 0.000000
-1.779914 0.000000 10.497410
1.000000 0.000000 0.000000
0.000000 1.000000 0.000000
0.000000 0.000000 1.000000
0.033802 0.164744 0.173823 Vac
0.533802 0.164744 0.173823 Vac
0.466197 0.335255 0.326177 Vac
0.966198 0.335255 0.326177 Vac
0.466197 0.414745 0.076177 Vac
0.966198 0.414745 0.076177 Vac
0.033802 0.085255 0.423823 Vac
0.533802 0.085255 0.423823 Vac
0.224475 0.378668 0.238744 Vac
0.724475 0.378668 0.238744 Vac
0.275525 0.121332 0.261256 Vac
0.775525 0.121332 0.261256 Vac
0.275525 0.128668 0.011256 Vac
0.775525 0.128668 0.011256 Vac
0.224475 0.371332 0.488744 Vac
0.724475 0.371332 0.488744 Vac
0.137933 0.021315 0.103939 Hf_pv
0.137933 0.021315 0.603939 Hf_pv
0.137933 0.521315 0.103939 Hf_pv
0.137933 0.521315 0.603939 Hf_pv
0.637934 0.021315 0.103939 Hf_pv
0.637934 0.021315 0.603939 Hf_pv
0.637934 0.521315 0.103939 Hf_pv
0.637934 0.521315 0.603939 Hf_pv
0.362067 0.478685 0.396061 Hf_pv
0.362067 0.478685 0.896061 Hf_pv
0.362067 0.978685 0.396061 Hf_pv
0.362067 0.978685 0.896061 Hf_pv
0.862066 0.478685 0.396061 Hf_pv
0.862066 0.478685 0.896061 Hf_pv
0.862066 0.978685 0.396061 Hf_pv
0.862066 0.978685 0.896061 Hf_pv
0.362067 0.271315 0.146061 Hf_pv
0.362067 0.271315 0.646061 Hf_pv
0.362067 0.771315 0.146061 Hf_pv
0.362067 0.771315 0.646061 Hf_pv
0.862066 0.271315 0.146061 Hf_pv
0.862066 0.271315 0.646061 Hf_pv
0.862066 0.771315 0.146061 Hf_pv
0.862066 0.771315 0.646061 Hf_pv
0.137933 0.228685 0.353939 Hf_pv
0.137933 0.228685 0.853939 Hf_pv
0.137933 0.728685 0.353939 Hf_pv
0.137933 0.728685 0.853939 Hf_pv
0.637934 0.228685 0.353939 Hf_pv
0.637934 0.228685 0.853939 Hf_pv
0.637934 0.728685 0.353939 Hf_pv
0.637934 0.728685 0.853939 Hf_pv
0.033802 0.164744 0.673823 O
0.033802 0.664744 0.173823 O
0.033802 0.664744 0.673823 O
0.533802 0.164744 0.673823 O
0.533802 0.664744 0.173823 O
0.533802 0.664744 0.673823 O
0.466197 0.335255 0.826177 O
0.466197 0.835255 0.326177 O
0.466197 0.835255 0.826177 O
0.966198 0.335255 0.826177 O
0.966198 0.835255 0.326177 O
0.966198 0.835255 0.826177 O
0.466197 0.414745 0.576177 O
0.466197 0.914745 0.076177 O
0.466197 0.914745 0.576177 O
0.966198 0.414745 0.576177 O
0.966198 0.914745 0.076177 O
0.966198 0.914745 0.576177 O
0.033802 0.085255 0.923823 O
0.033802 0.585255 0.423823 O
0.033802 0.585255 0.923823 O
0.533802 0.085255 0.923823 O
0.533802 0.585255 0.423823 O
0.533802 0.585255 0.923823 O
0.224475 0.378668 0.738744 O
0.224475 0.878668 0.238744 O
0.224475 0.878668 0.738744 O
0.724475 0.378668 0.738744 O
0.724475 0.878668 0.238744 O
0.724475 0.878668 0.738744 O
0.275525 0.121332 0.761256 O
0.275525 0.621332 0.261256 O
0.275525 0.621332 0.761256 O
0.775525 0.121332 0.761256 O
0.775525 0.621332 0.261256 O
0.775525 0.621332 0.761256 O
0.275525 0.128668 0.511256 O
0.275525 0.628668 0.011256 O
0.275525 0.628668 0.511256 O
0.775525 0.128668 0.511256 O
0.775525 0.628668 0.011256 O
0.775525 0.628668 0.511256 O
0.224475 0.371332 0.988744 O
0.224475 0.871332 0.488744 O
0.224475 0.871332 0.988744 O
0.724475 0.371332 0.988744 O
0.724475 0.871332 0.488744 O
0.724475 0.871332 0.988744 O
