Finding best cluster expansion...
done!
Finding best cluster expansion...
2 16 1 0.00714946
2 16 1 1 0.00647915
2 16 3 0 1 0.00674587
2 16 6 0 1 0.00660659
2 16 6 1 1 0.00682247
2 16 8 0 1 0.00691532
2 16 8 1 1 0.00719463
2 16 10 0 1 0.00728179
2 16 10 1 1 0.0076558
2 16 14 0 1 0.00755717
2 16 14 1 1 0.00788556
2 16 14 3 1 0.00824923
2 16 18 0 1 0.00855574
2 16 18 1 1 0.00898009
2 16 18 3 1 0.00924174
2 16 18 6 1 0.00941722
2 16 21 0 1 0.00842236
2 16 21 1 1 0.00875262
2 16 21 3 1 0.00900876
2 16 21 6 1 0.00932848
2 16 21 9 1 0.00864503
2 16 23 0 1 0.00849071
2 16 23 1 1 0.00886371
2 16 23 3 1 0.00909643
2 16 23 6 1 0.00957075
2 16 23 9 1 0.0089433
2 16 23 11 1 0.00919677
2 17 0 0 1 0.00727915
2 17 1 0 1 0.00654555
2 17 3 0 1 0.00685515
2 17 6 0 1 0.00674872
2 17 6 1 1 0.00695852
2 17 8 0 1 0.00712503
2 17 8 1 1 0.00739397
2 17 10 0 1 0.00743982
2 17 10 1 1 0.00779314
2 17 14 0 1 0.00771449
2 17 14 1 1 0.00803092
2 17 14 3 1 0.00836869
2 17 18 0 1 0.00869659
2 17 18 1 1 0.00911866
2 17 18 3 1 0.00937537
2 17 18 6 1 0.00959412
2 17 21 0 1 0.00857432
2 17 21 1 1 0.00890343
2 17 21 3 1 0.0091651
2 17 21 6 1 0.00953799
2 17 21 9 1 0.00880593
2 17 23 0 1 0.00863476
2 17 23 1 1 0.00901667
2 17 23 3 1 0.00926958
2 17 23 6 1 0.00980587
2 17 23 9 1 0.00914009
2 17 23 11 1 0.00936197
2 17 27 0 1 0.00912649
2 17 27 1 1 0.00958352
2 17 27 3 1 0.010121
2 17 27 6 1 0.0108569
2 17 27 9 1 0.00987063
2 17 27 11 1 0.0098706
2 17 27 15 1 0.0103909
2 18 0 0 1 0.00689793
2 18 1 0 1 0.00634703
2 18 3 0 1 0.0065639
2 18 6 0 1 0.0066618
2 18 6 1 1 0.00683715
2 18 8 0 1 0.00705421
2 18 8 1 1 0.00727587
2 18 10 0 1 0.0072387
2 18 10 1 1 0.00753426
2 18 14 0 1 0.00738992
2 18 14 1 1 0.00765717
2 18 14 3 1 0.0079554
2 18 18 0 1 0.00836149
2 18 18 1 1 0.00871974
2 18 18 3 1 0.00895928
2 18 18 6 1 0.0093548
2 18 21 0 1 0.00783853
2 18 21 1 1 0.00809223
2 18 21 3 1 0.00832202
2 18 21 6 1 0.00883576
2 18 21 9 1 0.0081183
2 18 23 0 1 0.0080121
2 18 23 1 1 0.00831708
2 18 23 3 1 0.00855476
2 18 23 6 1 0.0091481
2 18 23 9 1 0.00848952
2 18 23 11 1 0.00876128
2 18 27 0 1 0.00852212
2 18 27 1 1 0.00891241
2 18 27 3 1 0.00937704
2 18 27 6 1 0.0101253
2 18 27 9 1 0.00916748
2 18 27 11 1 0.00922826
2 18 27 15 1 0.0097121
2 18 31 0 1 0.00819006
2 18 31 1 1 0.00852207
2 18 31 3 1 0.00895355
2 18 31 6 1 0.00966542
2 18 31 9 1 0.00928495
2 18 31 11 1 0.0094249
2 18 31 15 1 0.00982375
2 18 31 19 1 0.00919255
2 19 0 0 1 0.0068738
2 19 1 0 1 0.00635128
2 19 3 0 1 0.00659779
2 19 6 0 1 0.0067192
2 19 6 1 1 0.00689923
2 19 8 0 1 0.00710833
2 19 8 1 1 0.00733242
2 19 10 0 1 0.00727331
2 19 10 1 1 0.0075716
2 19 14 0 1 0.00743502
2 19 14 1 1 0.00770982
2 19 14 3 1 0.00796725
2 19 18 0 1 0.00829883
2 19 18 1 1 0.00862313
2 19 18 3 1 0.00882812
2 19 18 6 1 0.00920845
2 19 21 0 1 0.00767752
2 19 21 1 1 0.00786836
2 19 21 3 1 0.00805247
2 19 21 6 1 0.00854969
2 19 21 9 1 0.00788057
2 19 23 0 1 0.00792197
2 19 23 1 1 0.00813373
2 19 23 3 1 0.00833472
2 19 23 6 1 0.00889848
2 19 23 9 1 0.00830207
2 19 23 11 1 0.00853015
2 19 27 0 1 0.00844352
2 19 27 1 1 0.00875522
2 19 27 3 1 0.00914332
2 19 27 6 1 0.00987195
2 19 27 9 1 0.00890841
2 19 27 11 1 0.00890828
2 19 27 15 1 0.0093834
2 19 31 0 1 0.00798419
2 19 31 1 1 0.00823433
2 19 31 3 1 0.00858755
2 19 31 6 1 0.00927457
2 19 31 9 1 0.00890077
2 19 31 11 1 0.00906226
2 19 31 15 1 0.00939986
2 19 31 19 1 0.00901459
2 19 33 0 1 0.00805722
2 19 33 1 1 0.00829122
2 19 33 3 1 0.00863432
2 19 33 6 1 0.00939077
2 19 33 9 1 0.00916967
2 19 33 11 1 0.00940023
2 19 33 15 1 0.00982456
2 19 33 19 1 0.00934849
2 19 33 22 1 0.00979247
2 20 0 0 1 0.00687698
2 20 1 0 1 0.00623126
2 20 3 0 1 0.00647977
2 20 6 0 1 0.00693544
2 20 6 1 1 0.00707284
2 20 8 0 1 0.00755587
2 20 8 1 1 0.00775168
2 20 10 0 1 0.00708599
2 20 10 1 1 0.00730458
2 20 14 0 1 0.00723503
2 20 14 1 1 0.00744834
2 20 14 3 1 0.00760624
2 20 18 0 1 0.00823745
2 20 18 1 1 0.00840526
2 20 18 3 1 0.00854367
2 20 18 6 1 0.00895961
2 20 21 0 1 0.00778437
2 20 21 1 1 0.00779648
2 20 21 3 1 0.00794501
2 20 21 6 1 0.00841514
2 20 21 9 1 0.00802053
2 20 23 0 1 0.00799684
2 20 23 1 1 0.00802772
