3.97151 3.97151 -3.97151
3.97151 -3.97151 3.97151
-3.97151 -3.97151 -3.97151
1 0 0
0 1 0
0 0 1
0.5000000000000000 0.0000000000000000 0.0000000000000000	Nb_sv
0.7505971662739128 0.2505971662739128 0.0000000000000000	O
0.5000000000000000 0.7494028337260872 0.7494028337260872	O
0.2494028337260872 0.0000000000000000 0.7494028337260872	O
0.2494028337260872 0.7494028337260872 0.0000000000000000	O
0.0000000000000000 0.2500000000000000 0.7500000000000000	O
0.7500000000000000 0.5000000000000000 0.7500000000000000	O
0.2500000000000000 0.2500000000000000 0.5000000000000000	O
0.0000000000000000 0.7500000000000000 0.2500000000000000	O
0.7505971662739128 0.0000000000000000 0.2505971662739128	O
0.7500000000000000 0.7500000000000000 0.5000000000000000	O
0.5000000000000000 0.2505971662739128 0.2505971662739128	O
0.2500000000000000 0.5000000000000000 0.2500000000000000	O
0.5000000000000000 0.0000000000000000 0.5000000000000000	Sr_sv
0.0000000000000000 0.5000000000000000 0.5000000000000000	Sr_sv
0.0000000000000000 0.0000000000000000 0.0000000000000000	Sr_sv
0.5000000000000000 0.5000000000000000 0.0000000000000000	Sr_sv
0.0000000000000000 0.5000000000000000 0.0000000000000000	Ti_sv
0.0000000000000000 0.0000000000000000 0.5000000000000000	Ti_sv
0.5000000000000000 0.5000000000000000 0.5000000000000000	Ti_sv
