0 3.98163 -7.96117
0 -7.96117 3.98163
-3.98889 0 0
1 0 0
0 1 0
0 0 1
0.1666666666666643 0.8333333333333357 0.5000000000000000	Nb_sv
0.1666666666666643 0.8333333333333357 0.0000000000000000	O
0.9982798192225886 0.4982720654831070 0.5000000000000000	O
0.8316053988164427 0.6649464858892529 0.5000000000000000	O
0.8338811184625428 0.1661188815374572 0.0000000000000000	O
0.6666666666666643 0.8333333333333357 0.5000000000000000	O
0.5017279345168930 0.0017201807774114 0.5000000000000000	O
0.4994522148707929 0.5005477851292071 0.0000000000000000	O
0.3350535141107471 0.1683946011835573 0.5000000000000000	O
0.1666666666666643 0.3333333333333357 0.5000000000000000	O
0.6666666666666643 0.3333333333333357 0.0000000000000000	Sr_sv
0.3392342562194557 0.6607657437805443 0.0000000000000000	Sr_sv
0.9940990771138800 0.0059009228861200 0.0000000000000000	Sr_sv
0.8347668461345563 0.1652331538654437 0.5000000000000000	Ti_sv
0.4985664871987794 0.5014335128012206 0.5000000000000000	Ti_sv
