-3.98094 -3.98094 0
3.98094 0 -3.98094
3.98296 -3.98296 3.98296
1 0 0
0 1 0
0 0 1
0.0000000000000000 0.0000000000000000 0.5000000000000000	Nb_sv
0.8325904602926144 0.1674095397073856 0.6678755614709431	O
0.6651809205852217 0.8325904602926144 0.3321244385290569	O
0.8325904602926144 0.6651809205852217 0.6678755614709431	O
0.5000000000000000 0.5000000000000000 0.0000000000000000	O
0.3348190794147783 0.1674095397073856 0.6678755614709431	O
0.5000000000000000 0.0000000000000000 0.0000000000000000	O
0.1674095397073856 0.8325904602926144 0.3321244385290569	O
0.0000000000000000 0.5000000000000000 0.0000000000000000	O
0.1674095397073856 0.3348190794147783 0.3321244385290569	O
0.3333333333333357 0.6666666666666643 0.6723837686828773	Sr_sv
0.0000000000000000 0.0000000000000000 0.0000000000000000	Sr_sv
0.6666666666666643 0.3333333333333357 0.3276162313171227	Sr_sv
0.6666666666666643 0.3333333333333357 0.8398552748824741	Ti_sv
0.3333333333333357 0.6666666666666643 0.1601447251175259	Ti_sv
