7.94791 3.97103 0
7.94791 -3.97103 0
-7.94791 0 -3.97103
1 0 0
0 1 0
0 0 1
0.1250000000000000 0.6250000000000000 0.5000000000000000	Nb_sv
0.2506266270426210 0.7506266270426210 0.5000000000000000	O
0.3761131739514383 0.3738868260485617 0.5000000000000000	O
0.8738868260485617 0.3738868260485617 0.9977736520971234	O
0.5004044062668953 0.0004044062668953 0.5000000000000000	O
0.6250000000000000 0.6250000000000000 0.5000000000000000	O
0.1250000000000000 0.6250000000000000 0.0000000000000000	O
0.7495955937331047 0.2495955937331047 0.5000000000000000	O
0.8738868260485617 0.8761131739514383 0.5000000000000000	O
0.3761131739514383 0.8761131739514383 0.0022263479028766	O
0.9993733729573790 0.4993733729573790 0.5000000000000000	O
0.1250000000000000 0.1250000000000000 0.5000000000000000	O
0.6250000000000000 0.1250000000000000 0.0000000000000000	O
0.2542922237638763 0.2542922237638763 0.0000000000000000	Sr_sv
0.4957077762361237 0.4957077762361237 0.0000000000000000	Sr_sv
0.7542922237638763 0.7542922237638763 0.0000000000000000	Sr_sv
0.9957077762361237 0.9957077762361237 0.0000000000000000	Sr_sv
0.3776533611523192 0.8776533611523192 0.5000000000000000	Ti_sv
0.6250000000000000 0.1250000000000000 0.5000000000000000	Ti_sv
0.8723466388476808 0.3723466388476808 0.5000000000000000	Ti_sv
