3.97524 -7.94597 3.97524
7.94597 -3.97524 3.97524
3.97524 -3.97524 7.94597
1 0 0
0 1 0
0 0 1
0.3750000000000000 0.3750000000000000 0.3750000000000000	Nb_sv
0.2494845275825526 0.7518655021041241 0.2494845275825526	O
0.9981344978958759 0.5005154724174474 0.5005154724174474	O
0.2494845275825526 0.2494845275825526 0.7518655021041241	O
0.5005154724174474 0.9981344978958759 0.5005154724174474	O
0.2499258797491635 0.7499528617354301 0.7499528617354301	O
0.5005154724174474 0.5005154724174474 0.9981344978958759	O
0.7499528617354301 0.2499258797491635 0.7499528617354301	O
0.5000741202508365 0.0000471382645699 0.0000471382645699	O
0.7499528617354301 0.7499528617354301 0.2499258797491635	O
0.0000471382645699 0.5000741202508365 0.0000471382645699	O
0.7518655021041241 0.2494845275825526 0.2494845275825526	O
0.0000471382645699 0.0000471382645699 0.5000741202508365	O
0.7521588831484536 0.7521588831484536 0.7521588831484536	Sr_sv
0.9978411168515464 0.9978411168515464 0.9978411168515464	Sr_sv
0.2483038298410420 0.2483038298410420 0.2483038298410420	Sr_sv
0.5016961701589580 0.5016961701589580 0.5016961701589580	Sr_sv
0.6228699415067780 0.6228699415067780 0.6228699415067780	Ti_sv
0.8750000000000000 0.8750000000000000 0.8750000000000000	Ti_sv
0.1271300584932220 0.1271300584932220 0.1271300584932220	Ti_sv
