0 0 -3.98515
0 3.98515 0
11.9543 0 0
1 0 0
0 1 0
0 0 1
0.5000000000000000 0.5000000000000000 0.1666666666666643	Nb_sv
0.5000000000000000 0.5000000000000000 0.3341282689618126	O
0.5000000000000000 0.0000000000000000 0.1666666666666643	O
0.0000000000000000 0.5000000000000000 0.1666666666666643	O
0.5000000000000000 0.5000000000000000 0.6666666666666643	O
0.5000000000000000 0.0000000000000000 0.5003306127541549	O
0.0000000000000000 0.5000000000000000 0.5003306127541549	O
0.5000000000000000 0.5000000000000000 0.9992050643715231	O
0.5000000000000000 0.0000000000000000 0.8330027205791808	O
0.0000000000000000 0.5000000000000000 0.8330027205791808	O
0.0000000000000000 0.0000000000000000 0.3473494572487965	Sr_sv
0.0000000000000000 0.0000000000000000 0.6666666666666643	Sr_sv
0.0000000000000000 0.0000000000000000 0.9859838760845392	Sr_sv
0.5000000000000000 0.5000000000000000 0.5037909683060704	Ti_sv
0.5000000000000000 0.5000000000000000 0.8295423650272653	Ti_sv
