#nb_Nb   c_Nb    e_ce    e_dft
1   0.0133333333333   -0.02372   -0.03317413333333974
2   0.0266666666667   -0.04574   -0.05296226666667536
3   0.04   -0.06207   -0.06447640000001087
4   0.0533333333333   -0.0762   -0.07380120000000545
5   0.0666666666667   -0.0851   -0.07686600000000254
6   0.08   -0.09038   -0.07767746666667108
7   0.0933333333333   -0.09469   -0.07674560000000952
8   0.106666666667   -0.09117   -0.07170973333334274
9   0.12   -0.08601   -0.06345386666666997
10   0.133333333333   -0.07817   -0.05207266666667465
11   0.146666666667   -0.06725   -0.04606280000000851
12   0.16   -0.05282   -0.03446493333333933
13   0.173333333333   -0.0364   -0.023321733333339978
14   0.186666666667   -0.01834   -0.00858986666667505
15   0.2   0.00036   0.008847999999993306
